"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"47","1,496","192",11.4,"1,688","284","24",7.8,"308","43","4",8.5,"47"
"Florida","Baker",2,2,"3","467","158",25.3,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"14","451","99",18,"550","54","10",15.6,"64","1","3",75,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"76","1,209","410",25.3,"1,619","133","32",19.4,"165","0","0",0,"0"
"Florida","Broward",6,6,"211","4,199","1,046",19.9,"5,245","345","112",24.5,"457","54","29",34.9,"83"
"Florida","Calhoun",7,7,"0","6","4",40,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"18","445","160",26.4,"605","44","5",10.2,"49","0","0",0,"0"
"Florida","Citrus",9,9,"9","237","84",26.2,"321","33","7",17.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"35","484","90",15.7,"574","38","12",24,"50","2","2",50,"4"
"Florida","Collier",11,11,"28","674","182",21.3,"856","44","41",48.2,"85","0","0",0,"0"
"Florida","Columbia",12,12,"15","87","4",4.4,"91","12","1",7.7,"13","0","0",0,"0"
"Florida","Dade",13,13,"256","6,323","2,336",27,"8,659","738","206",21.8,"944","73","53",42.1,"126"
"Florida","Desoto",14,14,"2","12","43",78.2,"55","5","3",37.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"115","2,867","859",23.1,"3,726","342","95",21.7,"437","26","14",35,"40"
"Florida","Escambia",17,17,"38","1,098","358",24.6,"1,456","122","19",13.5,"141","9","7",43.8,"16"
"Florida","Flagler",18,18,"7","85","14",14.1,"99","14","4",22.2,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","3","12",80,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"12","659","294",30.8,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","11","10",47.6,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","13","16",55.2,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"23","539","185",25.6,"724","53","9",14.5,"62","0","0",0,"0"
"Florida","Highlands",28,28,"24","212","41",16.2,"253","26","3",10.3,"29","0","0",0,"0"
"Florida","Hillsborough",29,29,"175","3,314","526",13.7,"3,840","327","53",13.9,"380","27","11",28.9,"38"
"Florida","Holmes",30,30,"1","17","3",15,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"10","337","130",27.8,"467","27","5",15.6,"32","0","0",0,"0"
"Florida","Jackson",32,32,"10","47","45",48.9,"92","7","4",36.4,"11","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"49","700","220",23.9,"920","73","31",29.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"27","1,430","383",21.1,"1,813","112","29",20.6,"141","62","24",27.9,"86"
