"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"76","1,489","224",13.1,"1,713","281","27",8.8,"308","41","6",12.8,"47"
"Florida","Baker",2,2,"4","451","174",27.8,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"28","446","79",15,"525","46","4",8,"50","0","4",100,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"65","1,194","433",26.6,"1,627","130","37",22.2,"167","0","0",0,"0"
"Florida","Broward",6,6,"210","4,149","1,108",21.1,"5,257","387","134",25.7,"521","34","24",41.4,"58"
"Florida","Calhoun",7,7,"1","7","3",30,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"26","441","185",29.6,"626","42","7",14.3,"49","0","0",0,"0"
"Florida","Citrus",9,9,"18","231","74",24.3,"305","32","8",20,"40","0","0",0,"0"
"Florida","Clay",10,10,"32","475","81",14.6,"556","42","8",16,"50","2","2",50,"4"
"Florida","Collier",11,11,"24","625","211",25.2,"836","56","29",34.1,"85","0","0",0,"0"
"Florida","Columbia",12,12,"18","97","0",0,"97","15","0",0,"15","0","0",0,"0"
"Florida","Dade",13,13,"363","6,158","2,450",28.5,"8,608","748","196",20.8,"944","76","55",42,"131"
"Florida","Desoto",14,14,"0","12","43",78.2,"55","4","4",50,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"133","2,742","899",24.7,"3,641","328","109",24.9,"437","25","15",37.5,"40"
"Florida","Escambia",17,17,"48","1,068","427",28.6,"1,495","129","12",8.5,"141","6","10",62.5,"16"
"Florida","Flagler",18,18,"14","82","17",17.2,"99","13","5",27.8,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"24","709","244",25.6,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","4","17",81,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","23","2",8,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","9","20",69,"29","0","4",100,"4","0","0",0,"0"
