"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"138","1,462","229",13.5,"1,691","271","28",9.4,"299","33","14",29.8,"47"
"Florida","Baker",2,2,"35","125","500",80,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"85","444","115",20.6,"559","68","4",5.6,"72","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"119","1,215","400",24.8,"1,615","122","56",31.5,"178","0","0",0,"0"
"Florida","Broward",6,6,"1,267","4,601","866",15.8,"5,467","485","44",8.3,"529","29","37",56.1,"66"
"Florida","Calhoun",7,7,"0","7","3",30,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"57","465","239",33.9,"704","52","7",11.9,"59","0","0",0,"0"
"Florida","Citrus",9,9,"25","225","73",24.5,"298","28","12",30,"40","0","0",0,"0"
"Florida","Clay",10,10,"75","454","90",16.5,"544","37","5",11.9,"42","2","12",85.7,"14"
"Florida","Collier",11,11,"134","714","168",19,"882","59","22",27.2,"81","0","0",0,"0"
"Florida","Columbia",12,12,"31","123","43",25.9,"166","10","2",16.7,"12","0","0",0,"0"
"Florida","Dade",13,13,"1,946","7,333","1,559",17.5,"8,892","894","108",10.8,"1,002","65","37",36.3,"102"
"Florida","Desoto",14,14,"3","38","17",30.9,"55","7","1",12.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"463","2,913","888",23.4,"3,801","333","108",24.5,"441","19","21",52.5,"40"
"Florida","Escambia",17,17,"185","1,102","294",21.1,"1,396","134","7",5,"141","12","4",25,"16"
"Florida","Flagler",18,18,"24","95","4",4,"99","16","2",11.1,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","4","12",75,"16","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"34","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
