"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"126","1,470","254",14.7,"1,724","270","38",12.3,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"20","130","495",79.2,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"84","441","127",22.4,"568","63","0",0,"63","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"91","1,172","445",27.5,"1,617","124","51",29.1,"175","0","0",0,"0"
"Florida","Broward",6,6,"1,021","4,292","945",18,"5,237","466","62",11.7,"528","36","24",40,"60"
"Florida","Calhoun",7,7,"1","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"41","461","244",34.6,"705","37","12",24.5,"49","0","0",0,"0"
"Florida","Citrus",9,9,"28","233","63",21.3,"296","35","5",12.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"-21","473","87",15.5,"560","37","5",11.9,"42","4","10",71.4,"14"
"Florida","Collier",11,11,"134","723","171",19.1,"894","68","17",20,"85","0","0",0,"0"
"Florida","Columbia",12,12,"23","101","11",9.8,"112","14","8",36.4,"22","0","0",0,"0"
"Florida","Dade",13,13,"1,600","6,763","1,697",20.1,"8,460","887","113",11.3,"1,000","68","37",35.2,"105"
"Florida","Desoto",14,14,"2","29","26",47.3,"55","4","4",50,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"372","2,833","928",24.7,"3,761","347","94",21.3,"441","19","21",52.5,"40"
"Florida","Escambia",17,17,"164","1,094","401",26.8,"1,495","141","6",4.1,"147","4","12",75,"16"
"Florida","Flagler",18,18,"15","88","11",11.1,"99","16","2",11.1,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"120","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"5","9","12",57.1,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"10","18","11",37.9,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"55","510","211",29.3,"721","48","14",22.6,"62","0","0",0,"0"
"Florida","Highlands",28,28,"53","214","43",16.7,"257","26","6",18.8,"32","0","0",0,"0"
"Florida","Hillsborough",29,29,"383","3,308","533",13.9,"3,841","366","33",8.3,"399","22","20",47.6,"42"
"Florida","Holmes",30,30,"1","5","15",75,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"20","349","147",29.6,"496","29","4",12.1,"33","0","0",0,"0"
"Florida","Jackson",32,32,"19","50","53",51.5,"103","8","6",42.9,"14","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"83","679","220",24.5,"899","81","23",22.1,"104","0","0",0,"0"
"Florida","Lee",36,36,"206","1,503","280",15.7,"1,783","107","34",24.1,"141","67","19",22.1,"86"
"Florida","Leon",37,37,"91","735","128",14.8,"863","68","4",5.6,"72","1","8",88.9,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
