"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"56","1,470","225",13.3,"1,695","283","25",8.1,"308","41","6",12.8,"47"
"Florida","Baker",2,2,"2","473","152",24.3,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"23","455","82",15.3,"537","52","3",5.5,"55","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"75","1,221","399",24.6,"1,620","139","25",15.2,"164","0","0",0,"0"
"Florida","Broward",6,6,"202","4,161","1,016",19.6,"5,177","315","143",31.2,"458","30","24",44.4,"54"
"Florida","Calhoun",7,7,"0","8","2",20,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"24","419","200",32.3,"619","39","10",20.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"19","236","68",22.4,"304","33","7",17.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"28","484","71",12.8,"555","43","7",14,"50","3","1",25,"4"
"Florida","Collier",11,11,"21","675","154",18.6,"829","57","26",31.3,"83","0","0",0,"0"
"Florida","Columbia",12,12,"17","100","0",0,"100","9","0",0,"9","0","0",0,"0"
"Florida","Dade",13,13,"280","6,348","2,268",26.3,"8,616","749","200",21.1,"949","76","51",40.2,"127"
"Florida","Desoto",14,14,"0","12","45",78.9,"57","1","7",87.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"128","2,820","944",25.1,"3,764","335","102",23.3,"437","22","18",45,"40"
"Florida","Escambia",17,17,"37","1,087","386",26.2,"1,473","133","8",5.7,"141","5","11",68.8,"16"
"Florida","Flagler",18,18,"9","89","10",10.1,"99","17","1",5.6,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"18","699","254",26.7,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","4","17",81,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","22","3",12,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","12","17",58.6,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"15","495","233",32,"728","43","19",30.6,"62","0","0",0,"0"
"Florida","Highlands",28,28,"24","192","64",25,"256","23","7",23.3,"30","0","0",0,"0"
"Florida","Hillsborough",29,29,"148","3,227","528",14.1,"3,755","350","28",7.4,"378","21","20",48.8,"41"
"Florida","Holmes",30,30,"0","15","5",25,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"8","299","149",33.3,"448","27","4",12.9,"31","0","0",0,"0"
"Florida","Jackson",32,32,"7","37","60",61.9,"97","4","4",50,"8","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"34","695","216",23.7,"911","77","27",26,"104","0","0",0,"0"
"Florida","Lee",36,36,"25","1,448","380",20.8,"1,828","116","24",17.1,"140","55","31",36,"86"
"Florida","Leon",37,37,"50","732","128",14.9,"860","58","14",19.4,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","7","8",53.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"26","652","114",14.9,"766","54","14",20.6,"68","0","0",0,"0"
"Florida","Marion",42,42,"32","789","119",13.1,"908","83","8",8.8,"91","0","0",0,"0"
"Florida","Martin",43,43,"15","246","260",51.4,"506","15","24",61.5,"39","0","0",0,"0"
"Florida","Monroe",44,44,"5","88","76",46.3,"164","7","6",46.2,"13","0","0",0,"0"
"Florida","Nassau",45,45,"1","26","42",61.8,"68","5","3",37.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"17","378","74",16.4,"452","50","4",7.4,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"9","51","49",49,"100","7","1",12.5,"8","0","0",0,"0"
"Florida","Orange",48,48,"120","3,354","1,103",24.7,"4,457","250","154",38.1,"404","75","37",33,"112"
"Florida","Osceola",49,49,"72","894","260",22.5,"1,154","93","30",24.4,"123","0","6",100,"6"
"Florida","Palm Beach",50,50,"111","2,739","1,304",32.3,"4,043","266","135",33.7,"401","18","14",43.8,"32"
"Florida","Pasco",51,51,"33","1,117","240",17.7,"1,357","113","18",13.7,"131","0","0",0,"0"
"Florida","Pinellas",52,52,"85","2,348","939",28.6,"3,287","226","67",22.9,"293","31","12",27.9,"43"
"Florida","Polk",53,53,"93","1,335","324",19.5,"1,659","124","20",13.9,"144","0","0",0,"0"
"Florida","Putnam",54,54,"9","62","22",26.2,"84","6","4",40,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"14","211","119",36.1,"330","24","20",45.5,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"52","707","166",19,"873","85","4",4.5,"89","2","4",66.7,"6"
"Florida","Santa Rosa",55,57,"5","131","221",62.8,"352","11","8",42.1,"19","0","0",0,"0"
"Florida","Sarasota",56,58,"28","1,037","199",16.1,"1,236","69","39",36.1,"108","0","0",0,"0"
"Florida","Seminole",57,59,"28","730","191",20.7,"921","64","9",12.3,"73","0","0",0,"0"
"Florida","Sumter",60,60,"9","258","89",25.6,"347","33","7",17.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","4","8",66.7,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"14","60","27",31,"87","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"46","1,129","471",29.4,"1,600","148","85",36.5,"233","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"3","60","57",48.7,"117","5","18",78.3,"23","0","0",0,"0"
"Florida","Washington",68,67,"1","38","21",35.6,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
