"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"119","1,382","260",15.8,"1,642","285","23",7.5,"308","29","18",38.3,"47"
"Florida","Baker",2,2,"33","110","515",82.4,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"80","432","142",24.7,"574","84","0",0,"84","0","4",100,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"140","1,217","367",23.2,"1,584","129","49",27.5,"178","0","0",0,"0"
"Florida","Broward",6,6,"1,184","4,444","945",17.5,"5,389","445","65",12.7,"510","30","31",50.8,"61"
"Florida","Calhoun",7,7,"2","7","3",30,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"37","443","267",37.6,"710","37","12",24.5,"49","0","0",0,"0"
"Florida","Citrus",9,9,"24","246","84",25.5,"330","39","1",2.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"67","469","73",13.5,"542","41","1",2.4,"42","2","4",66.7,"6"
"Florida","Collier",11,11,"201","739","178",19.4,"917","56","25",30.9,"81","0","0",0,"0"
"Florida","Columbia",12,12,"20","95","27",22.1,"122","17","2",10.5,"19","0","0",0,"0"
"Florida","Dade",13,13,"1,728","6,970","1,686",19.5,"8,656","852","132",13.4,"984","68","33",32.7,"101"
"Florida","Desoto",14,14,"5","34","21",38.2,"55","6","2",25,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"489","3,030","907",23,"3,937","344","96",21.8,"440","21","19",47.5,"40"
"Florida","Escambia",17,17,"175","1,038","307",22.8,"1,345","111","7",5.9,"118","6","10",62.5,"16"
"Florida","Flagler",18,18,"16","85","14",14.1,"99","13","5",27.8,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","0","15",100,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"3","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"2","8","13",61.9,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","16","13",44.8,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"97","543","204",27.3,"747","55","8",12.7,"63","0","0",0,"0"
"Florida","Highlands",28,28,"65","215","41",16,"256","23","4",14.8,"27","0","0",0,"0"
"Florida","Hillsborough",29,29,"419","3,330","661",16.6,"3,991","355","35",9,"390","25","17",40.5,"42"
"Florida","Holmes",30,30,"1","14","6",30,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"37","329","132",28.6,"461","24","6",20,"30","0","0",0,"0"
"Florida","Jackson",32,32,"34","74","21",22.1,"95","9","4",30.8,"13","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"132","739","178",19.4,"917","71","33",31.7,"104","0","0",0,"0"
"Florida","Lee",36,36,"258","1,518","270",15.1,"1,788","124","15",10.8,"139","61","25",29.1,"86"
"Florida","Leon",37,37,"71","712","185",20.6,"897","62","10",13.9,"72","4","5",55.6,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"1","7","8",53.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"114","709","101",12.5,"810","53","13",19.7,"66","0","0",0,"0"
"Florida","Marion",42,42,"31","768","131",14.6,"899","81","7",8,"88","0","0",0,"0"
"Florida","Martin",43,43,"35","267","223",45.5,"490","17","18",51.4,"35","0","0",0,"0"
"Florida","Monroe",44,44,"21","93","27",22.5,"120","10","0",0,"10","0","0",0,"0"
"Florida","Nassau",45,45,"5","48","38",44.2,"86","7","1",12.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"47","374","77",17.1,"451","48","6",11.1,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"17","62","38",38,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"609","3,447","974",22,"4,421","310","67",17.8,"377","68","44",39.3,"112"
"Florida","Osceola",49,49,"180","816","334",29,"1,150","79","49",38.3,"128","0","6",100,"6"
"Florida","Palm Beach",50,50,"506","3,108","1,079",25.8,"4,187","326","96",22.7,"422","16","14",46.7,"30"
"Florida","Pasco",51,51,"132","1,122","277",19.8,"1,399","122","11",8.3,"133","0","0",0,"0"
"Florida","Pinellas",52,52,"413","2,385","516",17.8,"2,901","251","41",14,"292","43","5",10.4,"48"
"Florida","Polk",53,53,"307","1,381","260",15.8,"1,641","147","11",7,"158","0","0",0,"0"
"Florida","Putnam",54,54,"16","70","14",16.7,"84","8","2",20,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"32","209","125",37.4,"334","26","18",40.9,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"138","753","130",14.7,"883","85","5",5.6,"90","3","3",50,"6"
"Florida","Santa Rosa",55,57,"21","154","183",54.3,"337","12","10",45.5,"22","0","0",0,"0"
"Florida","Sarasota",56,58,"142","1,050","241",18.7,"1,291","87","27",23.7,"114","0","0",0,"0"
"Florida","Seminole",57,59,"172","777","165",17.5,"942","66","7",9.6,"73","0","0",0,"0"
"Florida","Sumter",60,60,"30","221","126",36.3,"347","35","5",12.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","10","8",44.4,"18","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"0","49","81",62.3,"130","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"143","1,045","470",31,"1,515","185","59",24.2,"244","1","4",80,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"7","72","45",38.5,"117","17","6",26.1,"23","0","0",0,"0"
"Florida","Washington",68,67,"4","43","16",27.1,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
