"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"136","1,390","308",18.1,"1,698","279","29",9.4,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"22","129","496",79.4,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"77","418","131",23.9,"549","67","16",19.3,"83","1","4",80,"5"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"115","1,030","583",36.1,"1,613","130","45",25.7,"175","0","0",0,"0"
"Florida","Broward",6,6,"1,160","4,341","1,002",18.8,"5,343","472","41",8,"513","35","17",32.7,"52"
"Florida","Calhoun",7,7,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"51","431","268",38.3,"699","48","13",21.3,"61","0","0",0,"0"
"Florida","Citrus",9,9,"21","199","84",29.7,"283","32","8",20,"40","0","0",0,"0"
"Florida","Clay",10,10,"67","454","94",17.2,"548","40","2",4.8,"42","3","11",78.6,"14"
"Florida","Collier",11,11,"138","684","201",22.7,"885","66","23",25.8,"89","0","0",0,"0"
"Florida","Columbia",12,12,"29","99","21",17.5,"120","11","5",31.2,"16","0","0",0,"0"
"Florida","Dade",13,13,"1,746","6,613","1,758",21,"8,371","880","114",11.5,"994","64","33",34,"97"
"Florida","Desoto",14,14,"5","30","25",45.5,"55","3","5",62.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"447","2,598","1,125",30.2,"3,723","334","103",23.6,"437","22","18",45,"40"
"Florida","Escambia",17,17,"186","1,005","468",31.8,"1,473","133","14",9.5,"147","6","10",62.5,"16"
