"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"47","1,478","235",13.7,"1,713","286","22",7.1,"308","38","9",19.1,"47"
"Florida","Baker",2,2,"4","474","151",24.2,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"19","479","81",14.5,"560","58","1",1.7,"59","0","4",100,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"76","1,227","402",24.7,"1,629","142","23",13.9,"165","0","0",0,"0"
"Florida","Broward",6,6,"216","4,213","997",19.1,"5,210","363","102",21.9,"465","33","26",44.1,"59"
"Florida","Calhoun",7,7,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"22","444","164",27,"608","44","5",10.2,"49","0","0",0,"0"
"Florida","Citrus",9,9,"10","236","84",26.2,"320","34","6",15,"40","0","0",0,"0"
"Florida","Clay",10,10,"30","459","89",16.2,"548","32","18",36,"50","1","3",75,"4"
"Florida","Collier",11,11,"26","705","150",17.5,"855","51","34",40,"85","0","0",0,"0"
"Florida","Columbia",12,12,"16","102","0",0,"102","12","0",0,"12","0","0",0,"0"
"Florida","Dade",13,13,"277","6,261","2,179",25.8,"8,440","731","218",23,"949","69","51",42.5,"120"
"Florida","Desoto",14,14,"2","19","36",65.5,"55","2","6",75,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"108","2,895","843",22.6,"3,738","327","109",25,"436","26","14",35,"40"
"Florida","Escambia",17,17,"40","1,096","360",24.7,"1,456","124","17",12.1,"141","9","7",43.8,"16"
"Florida","Flagler",18,18,"7","85","14",14.1,"99","15","3",16.7,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"12","662","291",30.5,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","10","11",52.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","11","18",62.1,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"18","540","186",25.6,"726","55","7",11.3,"62","0","0",0,"0"
"Florida","Highlands",28,28,"19","208","43",17.1,"251","26","5",16.1,"31","0","0",0,"0"
"Florida","Hillsborough",29,29,"169","3,346","491",12.8,"3,837","328","52",13.7,"380","26","17",39.5,"43"
"Florida","Holmes",30,30,"1","18","2",10,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"9","343","115",25.1,"458","19","7",26.9,"26","0","0",0,"0"
"Florida","Jackson",32,32,"12","42","46",52.3,"88","4","5",55.6,"9","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"41","698","210",23.1,"908","70","34",32.7,"104","0","0",0,"0"
"Florida","Lee",36,36,"26","1,463","381",20.7,"1,844","117","24",17,"141","62","24",27.9,"86"
"Florida","Leon",37,37,"37","738","125",14.5,"863","61","11",15.3,"72","1","8",88.9,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
