"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"133","1,471","260",15,"1,731","278","30",9.7,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"24","132","493",78.9,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"80","418","131",23.9,"549","60","22",26.8,"82","1","3",75,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"109","1,150","459",28.5,"1,609","115","120",51.1,"235","0","0",0,"0"
"Florida","Broward",6,6,"1,040","4,267","1,000",19,"5,267","533","57",9.7,"590","34","25",42.4,"59"
"Florida","Calhoun",7,7,"1","2","8",80,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"42","489","218",30.8,"707","40","9",18.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"28","229","75",24.7,"304","28","12",30,"40","0","0",0,"0"
"Florida","Clay",10,10,"77","488","71",12.7,"559","39","3",7.1,"42","5","9",64.3,"14"
"Florida","Collier",11,11,"127","658","178",21.3,"836","68","17",20,"85","0","0",0,"0"
"Florida","Columbia",12,12,"18","102","9",8.1,"111","14","8",36.4,"22","0","0",0,"0"
"Florida","Dade",13,13,"1,617","6,886","1,576",18.6,"8,462","915","83",8.3,"998","62","38",38,"100"
"Florida","Desoto",14,14,"3","34","21",38.2,"55","5","3",37.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"407","2,844","913",24.3,"3,757","349","92",20.9,"441","19","21",52.5,"40"
"Florida","Escambia",17,17,"174","1,097","376",25.5,"1,473","138","9",6.1,"147","4","12",75,"16"
"Florida","Flagler",18,18,"14","87","12",12.1,"99","17","1",5.6,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"120","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"5","6","15",71.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"12","18","11",37.9,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"52","532","186",25.9,"718","49","13",21,"62","0","0",0,"0"
"Florida","Highlands",28,28,"49","225","42",15.7,"267","26","6",18.8,"32","0","0",0,"0"
"Florida","Hillsborough",29,29,"319","3,355","539",13.8,"3,894","364","28",7.1,"392","28","14",33.3,"42"
"Florida","Holmes",30,30,"1","5","15",75,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"26","333","129",27.9,"462","23","7",23.3,"30","0","0",0,"0"
"Florida","Jackson",32,32,"16","57","44",43.6,"101","11","3",21.4,"14","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"92","668","222",24.9,"890","76","28",26.9,"104","0","0",0,"0"
"Florida","Lee",36,36,"203","1,501","271",15.3,"1,772","110","31",22,"141","65","21",24.4,"86"
"Florida","Leon",37,37,"88","723","140",16.2,"863","60","12",16.7,"72","3","6",66.7,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","9",52.9,"17","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"81","644","116",15.3,"760","59","9",13.2,"68","0","0",0,"0"
"Florida","Marion",42,42,"99","810","102",11.2,"912","79","8",9.2,"87","0","0",0,"0"
"Florida","Martin",43,43,"26","245","221",47.4,"466","9","30",76.9,"39","0","0",0,"0"
"Florida","Monroe",44,44,"10","100","15",13,"115","10","0",0,"10","0","0",0,"0"
"Florida","Nassau",45,45,"3","37","31",45.6,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"46","371","80",17.7,"451","50","4",7.4,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"13","58","42",42,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"383","3,462","931",21.2,"4,393","305","67",18,"372","70","42",37.5,"112"
"Florida","Osceola",49,49,"139","871","286",24.7,"1,157","92","40",30.3,"132","0","6",100,"6"
"Florida","Palm Beach",50,50,"454","2,958","1,237",29.5,"4,195","319","97",23.3,"416","15","17",53.1,"32"
"Florida","Pasco",51,51,"98","1,121","272",19.5,"1,393","120","12",9.1,"132","0","0",0,"0"
"Florida","Pinellas",52,52,"286","2,349","563",19.3,"2,912","234","62",20.9,"296","38","6",13.6,"44"
"Florida","Polk",53,53,"270","1,321","322",19.6,"1,643","152","5",3.2,"157","0","0",0,"0"
"Florida","Putnam",54,54,"11","54","30",35.7,"84","9","1",10,"10","0","0",0,"0"
