"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"125","1,476","231",13.5,"1,707","283","25",8.1,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"5","133","492",78.7,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"64","430","124",22.4,"554","53","7",11.7,"60","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"106","1,226","402",24.7,"1,628","140","38",21.3,"178","0","0",0,"0"
"Florida","Broward",6,6,"769","4,230","938",18.2,"5,168","451","68",13.1,"519","33","27",45,"60"
"Florida","Calhoun",7,7,"0","3","7",70,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"42","438","278",38.8,"716","44","5",10.2,"49","0","0",0,"0"
"Florida","Citrus",9,9,"26","234","58",19.9,"292","37","3",7.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"61","480","74",13.4,"554","37","5",11.9,"42","4","10",71.4,"14"
"Florida","Collier",11,11,"108","748","156",17.3,"904","65","20",23.5,"85","0","0",0,"0"
"Florida","Columbia",12,12,"29","112","2",1.8,"114","16","0",0,"16","0","0",0,"0"
"Florida","Dade",13,13,"1,203","6,539","1,963",23.1,"8,502","826","165",16.6,"991","73","38",34.2,"111"
"Florida","Desoto",14,14,"4","28","27",49.1,"55","6","2",25,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"317","2,821","846",23.1,"3,667","335","107",24.2,"442","13","27",67.5,"40"
"Florida","Escambia",17,17,"157","1,114","381",25.5,"1,495","138","9",6.1,"147","5","11",68.8,"16"
"Florida","Flagler",18,18,"14","72","27",27.3,"99","12","6",33.3,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"126","778","171",18,"949","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"4","10","11",52.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","20","5",20,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"5","12","17",58.6,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"49","495","226",31.3,"721","44","18",29,"62","0","0",0,"0"
"Florida","Highlands",28,28,"51","216","42",16.3,"258","27","6",18.2,"33","0","0",0,"0"
"Florida","Hillsborough",29,29,"322","3,175","598",15.8,"3,773","335","47",12.3,"382","21","20",48.8,"41"
"Florida","Holmes",30,30,"2","7","13",65,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"21","296","170",36.5,"466","28","3",9.7,"31","0","0",0,"0"
