County,Measure Names,Measure Values
PUTNAM,Bed Census,56
PUTNAM,Available,28
PUTNAM,Available Capacity,0.333333333
PUTNAM,Total Staffed Bed Capacity,84
SANTA ROSA,Bed Census,95
SANTA ROSA,Available,236
SANTA ROSA,Available Capacity,0.712990937
SANTA ROSA,Total Staffed Bed Capacity,331
SARASOTA,Bed Census,955
SARASOTA,Available,266
SARASOTA,Available Capacity,0.217854218
SARASOTA,Total Staffed Bed Capacity,"1,221"
SEMINOLE,Bed Census,702
SEMINOLE,Available,233
SEMINOLE,Available Capacity,0.249197861
SEMINOLE,Total Staffed Bed Capacity,935
ST. JOHNS,Bed Census,181
ST. JOHNS,Available,150
ST. JOHNS,Available Capacity,0.453172205
ST. JOHNS,Total Staffed Bed Capacity,331
ST. LUCIE,Bed Census,689
ST. LUCIE,Available,185
ST. LUCIE,Available Capacity,0.211670481
ST. LUCIE,Total Staffed Bed Capacity,874
SUMTER,Bed Census,248
SUMTER,Available,99
SUMTER,Available Capacity,0.285302594
SUMTER,Total Staffed Bed Capacity,347
SUWANNEE,Bed Census,0
SUWANNEE,Available,0
SUWANNEE,Available Capacity,
SUWANNEE,Total Staffed Bed Capacity,0
TAYLOR,Bed Census,2
TAYLOR,Available,10
TAYLOR,Available Capacity,0.833333333
TAYLOR,Total Staffed Bed Capacity,12
UNION,Bed Census,64
UNION,Available,27
UNION,Available Capacity,0.296703297
UNION,Total Staffed Bed Capacity,91
VOLUSIA,Bed Census,"1,049"
VOLUSIA,Available,567
VOLUSIA,Available Capacity,0.350866337
VOLUSIA,Total Staffed Bed Capacity,"1,616"
WALTON,Bed Census,46
WALTON,Available,71
WALTON,Available Capacity,0.606837607
WALTON,Total Staffed Bed Capacity,117
WASHINGTON,Bed Census,42
WASHINGTON,Available,17
WASHINGTON,Available Capacity,0.288135593
WASHINGTON,Total Staffed Bed Capacity,59
All,Bed Census,"43,682"
All,Available,"17,183"
All,Available Capacity,0.282313316
All,Total Staffed Bed Capacity,"60,865"
