"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"128","1,385","328",19.1,"1,713","271","37",12,"308","30","17",36.2,"47"
"Florida","Baker",2,2,"3","129","496",79.4,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"63","432","128",22.9,"560","45","13",22.4,"58","0","4",100,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"122","1,159","493",29.8,"1,652","125","52",29.4,"177","0","0",0,"0"
"Florida","Broward",6,6,"739","4,071","1,124",21.6,"5,195","423","85",16.7,"508","35","27",43.5,"62"
"Florida","Calhoun",7,7,"0","6","4",40,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"45","423","287",40.4,"710","41","8",16.3,"49","0","0",0,"0"
"Florida","Citrus",9,9,"29","197","90",31.4,"287","28","10",26.3,"38","0","0",0,"0"
"Florida","Clay",10,10,"64","475","83",14.9,"558","37","5",11.9,"42","4","10",71.4,"14"
"Florida","Collier",11,11,"98","677","172",20.3,"849","47","37",44,"84","0","0",0,"0"
"Florida","Columbia",12,12,"30","110","2",1.8,"112","15","0",0,"15","0","0",0,"0"
"Florida","Dade",13,13,"1,125","6,325","2,202",25.8,"8,527","821","184",18.3,"1,005","64","42",39.6,"106"
"Florida","Desoto",14,14,"1","17","38",69.1,"55","3","5",62.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"316","2,646","976",26.9,"3,622","320","121",27.4,"441","17","23",57.5,"40"
"Florida","Escambia",17,17,"139","1,037","458",30.6,"1,495","129","18",12.2,"147","2","14",87.5,"16"
"Florida","Flagler",18,18,"15","76","23",23.2,"99","12","5",29.4,"17","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"126","778","171",18,"949","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
