"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"51","1,479","255",14.7,"1,734","276","32",10.4,"308","40","7",14.9,"47"
"Florida","Baker",2,2,"3","469","156",25,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"11","437","110",20.1,"547","54","10",15.6,"64","1","3",75,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"67","1,176","435",27,"1,611","122","43",26.1,"165","0","0",0,"0"
"Florida","Broward",6,6,"203","4,082","1,097",21.2,"5,179","346","104",23.1,"450","56","23",29.1,"79"
"Florida","Calhoun",7,7,"0","2","8",80,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"12","413","191",31.6,"604","42","9",17.6,"51","0","0",0,"0"
"Florida","Citrus",9,9,"10","220","82",27.2,"302","31","9",22.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"37","449","111",19.8,"560","35","15",30,"50","1","3",75,"4"
"Florida","Collier",11,11,"27","700","141",16.8,"841","44","41",48.2,"85","0","0",0,"0"
"Florida","Columbia",12,12,"16","86","5",5.5,"91","15","0",0,"15","0","0",0,"0"
"Florida","Dade",13,13,"242","6,114","2,409",28.3,"8,523","724","208",22.3,"932","79","49",38.3,"128"
"Florida","Desoto",14,14,"2","11","44",80,"55","4","4",50,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"120","2,791","936",25.1,"3,727","329","108",24.7,"437","31","9",22.5,"40"
"Florida","Escambia",17,17,"40","1,080","376",25.8,"1,456","127","14",9.9,"141","8","8",50,"16"
"Florida","Flagler",18,18,"5","82","17",17.2,"99","13","5",27.8,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","3","12",80,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"8","656","297",31.2,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","7","14",66.7,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","13","16",55.2,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"23","486","238",32.9,"724","50","12",19.4,"62","0","0",0,"0"
"Florida","Highlands",28,28,"24","201","48",19.3,"249","27","3",10,"30","0","0",0,"0"
"Florida","Hillsborough",29,29,"162","3,206","554",14.7,"3,760","326","53",14,"379","21","19",47.5,"40"
"Florida","Holmes",30,30,"0","11","9",45,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"8","328","144",30.5,"472","21","9",30,"30","0","0",0,"0"
"Florida","Jackson",32,32,"10","48","39",44.8,"87","6","3",33.3,"9","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"44","642","255",28.4,"897","67","37",35.6,"104","0","0",0,"0"
"Florida","Lee",36,36,"31","1,411","395",21.9,"1,806","114","26",18.6,"140","67","19",22.1,"86"
"Florida","Leon",37,37,"44","690","161",18.9,"851","61","11",15.3,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","7","8",53.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"30","635","125",16.4,"760","54","19",26,"73","0","0",0,"0"
"Florida","Marion",42,42,"24","754","142",15.8,"896","80","7",8,"87","0","0",0,"0"
"Florida","Martin",43,43,"9","267","239",47.2,"506","13","26",66.7,"39","0","0",0,"0"
"Florida","Monroe",44,44,"2","79","86",52.1,"165","7","6",46.2,"13","0","0",0,"0"
"Florida","Nassau",45,45,"2","37","31",45.6,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"13","345","107",23.7,"452","46","8",14.8,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"10","43","57",57,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"152","3,276","1,134",25.7,"4,410","271","127",31.9,"398","84","42",33.3,"126"
"Florida","Osceola",49,49,"66","901","283",23.9,"1,184","91","36",28.3,"127","0","0",0,"0"
"Florida","Palm Beach",50,50,"113","2,830","1,224",30.2,"4,054","270","131",32.7,"401","16","16",50,"32"
"Florida","Pasco",51,51,"35","1,060","268",20.2,"1,328","105","27",20.5,"132","0","0",0,"0"
"Florida","Pinellas",52,52,"113","2,444","1,175",32.5,"3,619","221","70",24.1,"291","26","8",23.5,"34"
"Florida","Polk",53,53,"73","1,339","315",19,"1,654","129","28",17.8,"157","9","5",35.7,"14"
"Florida","Putnam",54,54,"2","46","38",45.2,"84","3","7",70,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"10","184","147",44.4,"331","20","24",54.5,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"51","712","161",18.4,"873","77","12",13.5,"89","2","4",66.7,"6"
