"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"120","1,421","290",16.9,"1,711","277","31",10.1,"308","31","16",34,"47"
"Florida","Baker",2,2,"0","488","137",21.9,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"70","429","114",21,"543","50","10",16.7,"60","4","0",0,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"105","1,109","470",29.8,"1,579","121","53",30.5,"174","0","0",0,"0"
"Florida","Broward",6,6,"598","4,017","1,090",21.3,"5,107","404","94",18.9,"498","32","25",43.9,"57"
"Florida","Calhoun",7,7,"0","4","6",60,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"43","464","241",34.2,"705","39","10",20.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"27","194","99",33.8,"293","29","10",25.6,"39","0","0",0,"0"
"Florida","Clay",10,10,"57","462","83",15.2,"545","40","2",4.8,"42","2","12",85.7,"14"
"Florida","Collier",11,11,"72","662","200",23.2,"862","54","31",36.5,"85","0","0",0,"0"
"Florida","Columbia",12,12,"21","99","6",5.7,"105","12","3",20,"15","0","0",0,"0"
"Florida","Dade",13,13,"887","6,454","2,064",24.2,"8,518","791","184",18.9,"975","67","39",36.8,"106"
"Florida","Desoto",14,14,"2","24","31",56.4,"55","5","3",37.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"271","2,694","1,032",27.7,"3,726","323","120",27.1,"443","15","25",62.5,"40"
"Florida","Escambia",17,17,"112","1,005","474",32,"1,479","136","5",3.5,"141","5","11",68.8,"16"
"Florida","Flagler",18,18,"9","80","21",20.8,"101","11","7",38.9,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","0","15",100,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"114","760","193",20.3,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"1","3","18",85.7,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","25","0",0,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","10","19",65.5,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"31","524","201",27.7,"725","58","4",6.5,"62","0","0",0,"0"
"Florida","Highlands",28,28,"25","175","79",31.1,"254","29","5",14.7,"34","0","0",0,"0"
"Florida","Hillsborough",29,29,"232","2,982","750",20.1,"3,732","305","76",19.9,"381","22","17",43.6,"39"
"Florida","Holmes",30,30,"3","9","11",55,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"9","267","192",41.8,"459","19","14",42.4,"33","0","0",0,"0"
"Florida","Jackson",32,32,"14","29","69",70.4,"98","13","4",23.5,"17","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"63","662","239",26.5,"901","67","37",35.6,"104","0","0",0,"0"
"Florida","Lee",36,36,"134","1,383","488",26.1,"1,871","99","38",27.7,"137","66","20",23.3,"86"
"Florida","Leon",37,37,"87","718","139",16.2,"857","55","17",23.6,"72","1","8",88.9,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","5","10",66.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"40","605","151",20,"756","49","15",23.4,"64","0","0",0,"0"
"Florida","Marion",42,42,"95","762","143",15.8,"905","84","13",13.4,"97","0","0",0,"0"
"Florida","Martin",43,43,"21","259","231",47.1,"490","20","19",48.7,"39","0","0",0,"0"
"Florida","Monroe",44,44,"4","84","28",25,"112","7","0",0,"7","0","0",0,"0"
"Florida","Nassau",45,45,"9","38","30",44.1,"68","7","1",12.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"33","313","136",30.3,"449","40","14",25.9,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"12","49","51",51,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"240","3,275","1,041",24.1,"4,316","266","107",28.7,"373","64","48",42.9,"112"
"Florida","Osceola",49,49,"88","804","349",30.3,"1,153","80","49",38,"129","0","6",100,"6"
"Florida","Palm Beach",50,50,"246","2,620","1,416",35.1,"4,036","291","112",27.8,"403","16","16",50,"32"
"Florida","Pasco",51,51,"53","1,043","369",26.1,"1,412","118","16",11.9,"134","0","0",0,"0"
"Florida","Pinellas",52,52,"152","2,018","842",29.4,"2,860","227","57",20.1,"284","23","8",25.8,"31"
"Florida","Polk",53,53,"145","1,248","361",22.4,"1,609","127","37",22.6,"164","0","0",0,"0"
"Florida","Putnam",54,54,"6","59","25",29.8,"84","10","0",0,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"11","185","146",44.1,"331","20","24",54.5,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"74","640","233",26.7,"873","79","11",12.2,"90","6","0",0,"6"
"Florida","Santa Rosa",55,57,"18","137","219",61.5,"356","9","12",57.1,"21","0","0",0,"0"
"Florida","Sarasota",56,58,"68","912","263",22.4,"1,175","79","29",26.9,"108","0","0",0,"0"
"Florida","Seminole",57,59,"71","669","280",29.5,"949","58","15",20.5,"73","0","0",0,"0"
"Florida","Sumter",60,60,"15","219","128",36.9,"347","31","9",22.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","4","8",66.7,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"3","69","42",37.8,"111","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"93","1,064","533",33.4,"1,597","144","72",33.3,"216","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"3","45","72",61.5,"117","7","16",69.6,"23","0","0",0,"0"
"Florida","Washington",68,67,"2","35","24",40.7,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
