"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"79","1,448","246",14.5,"1,694","275","33",10.7,"308","43","4",8.5,"47"
"Florida","Baker",2,2,"11","460","165",26.4,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"20","437","95",17.9,"532","46","6",11.5,"52","1","3",75,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"44","1,201","421",26,"1,622","137","30",18,"167","0","0",0,"0"
"Florida","Broward",6,6,"220","4,074","1,112",21.4,"5,186","363","107",22.8,"470","35","24",40.7,"59"
"Florida","Calhoun",7,7,"0","8","2",20,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"33","411","202",33,"613","40","9",18.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"21","238","73",23.5,"311","31","9",22.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"30","468","76",14,"544","42","8",16,"50","1","3",75,"4"
"Florida","Collier",11,11,"28","657","194",22.8,"851","54","31",36.5,"85","0","0",0,"0"
"Florida","Columbia",12,12,"17","98","0",0,"98","11","0",0,"11","0","0",0,"0"
"Florida","Dade",13,13,"315","6,159","2,467",28.6,"8,626","743","190",20.4,"933","68","48",41.4,"116"
"Florida","Desoto",14,14,"0","13","40",75.5,"53","2","6",75,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"128","2,880","869",23.2,"3,749","317","120",27.5,"437","20","17",45.9,"37"
"Florida","Escambia",17,17,"37","1,089","404",27.1,"1,493","131","10",7.1,"141","7","9",56.2,"16"
"Florida","Flagler",18,18,"14","94","5",5.1,"99","17","1",5.6,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"25","711","242",25.4,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
