"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"85","1,373","334",19.6,"1,707","266","42",13.6,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"30","469","156",25,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"25","436","108",19.9,"544","47","2",4.1,"49","0","4",100,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"66","1,158","493",29.9,"1,651","113","62",35.4,"175","0","0",0,"0"
"Florida","Broward",6,6,"350","3,947","1,210",23.5,"5,157","382","92",19.4,"474","30","23",43.4,"53"
"Florida","Calhoun",7,7,"0","6","4",40,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"31","383","201",34.4,"584","37","12",24.5,"49","0","0",0,"0"
"Florida","Citrus",9,9,"22","200","83",29.3,"283","28","8",22.2,"36","0","0",0,"0"
"Florida","Clay",10,10,"36","433","122",22,"555","44","10",18.5,"54","1","3",75,"4"
"Florida","Collier",11,11,"37","648","182",21.9,"830","63","22",25.9,"85","0","0",0,"0"
"Florida","Columbia",12,12,"14","101","0",0,"101","9","0",0,"9","0","0",0,"0"
"Florida","Dade",13,13,"552","5,886","2,567",30.4,"8,453","751","182",19.5,"933","61","48",44,"109"
"Florida","Desoto",14,14,"3","18","36",66.7,"54","4","3",42.9,"7","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"198","2,597","1,149",30.7,"3,746","276","161",36.8,"437","17","23",57.5,"40"
"Florida","Escambia",17,17,"79","973","516",34.7,"1,489","118","23",16.3,"141","4","12",75,"16"
"Florida","Flagler",18,18,"10","85","14",14.1,"99","13","5",27.8,"18","0","0",0,"0"
"Florida","Franklin",19,19,"1","3","12",80,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"124","745","208",21.8,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"2","5","16",76.2,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","21","4",16,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","9","20",69,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"24","462","293",38.8,"755","39","23",37.1,"62","0","0",0,"0"
"Florida","Highlands",28,28,"22","159","94",37.2,"253","18","8",30.8,"26","0","0",0,"0"
"Florida","Hillsborough",29,29,"169","2,844","815",22.3,"3,659","304","86",22.1,"390","21","15",41.7,"36"
"Florida","Holmes",30,30,"0","7","13",65,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"10","270","171",38.8,"441","16","16",50,"32","0","0",0,"0"
"Florida","Jackson",32,32,"7","35","63",64.3,"98","6","6",50,"12","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"57","697","205",22.7,"902","81","23",22.1,"104","0","0",0,"0"
"Florida","Lee",36,36,"101","1,339","522",28,"1,861","107","33",23.6,"140","70","16",18.6,"86"
"Florida","Leon",37,37,"68","684","163",19.2,"847","63","9",12.5,"72","0","9",100,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","7",46.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"20","619","133",17.7,"752","51","11",17.7,"62","0","0",0,"0"
"Florida","Marion",42,42,"66","742","143",16.2,"885","81","7",8,"88","0","0",0,"0"
"Florida","Martin",43,43,"14","224","282",55.7,"506","12","27",69.2,"39","0","0",0,"0"
"Florida","Monroe",44,44,"2","108","25",18.8,"133","10","0",0,"10","0","0",0,"0"
"Florida","Nassau",45,45,"5","29","39",57.4,"68","7","1",12.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"24","332","119",26.4,"451","46","7",13.2,"53","0","0",0,"0"
"Florida","Okeechobee",47,47,"12","55","45",45,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"147","3,145","1,186",27.4,"4,331","257","115",30.9,"372","76","36",32.1,"112"
"Florida","Osceola",49,49,"54","784","366",31.8,"1,150","76","47",38.2,"123","1","5",83.3,"6"
"Florida","Palm Beach",50,50,"172","2,561","1,482",36.7,"4,043","253","187",42.5,"440","16","17",51.5,"33"
"Florida","Pasco",51,51,"37","1,061","337",24.1,"1,398","100","30",23.1,"130","0","0",0,"0"
"Florida","Pinellas",52,52,"145","2,126","1,045",33,"3,171","227","61",21.2,"288","36","8",18.2,"44"
"Florida","Polk",53,53,"100","1,217","445",26.8,"1,662","116","21",15.3,"137","0","0",0,"0"
"Florida","Putnam",54,54,"2","55","29",34.5,"84","9","1",10,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"10","163","167",50.6,"330","23","21",47.7,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"47","642","233",26.6,"875","81","9",10,"90","5","1",16.7,"6"
"Florida","Santa Rosa",55,57,"9","134","218",61.9,"352","11","12",52.2,"23","0","0",0,"0"
"Florida","Sarasota",56,58,"38","914","301",24.8,"1,215","71","40",36,"111","0","0",0,"0"
"Florida","Seminole",57,59,"52","589","360",37.9,"949","56","17",23.3,"73","0","0",0,"0"
"Florida","Sumter",60,60,"14","230","117",33.7,"347","32","8",20,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","3","9",75,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"12","63","35",35.7,"98","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"53","1,047","535",33.8,"1,582","141","74",34.4,"215","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"4","50","67",57.3,"117","11","12",52.2,"23","0","0",0,"0"
"Florida","Washington",68,67,"3","46","13",22,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
