"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"115","1,335","314",19,"1,649","282","26",8.4,"308","24","23",48.9,"47"
"Florida","Baker",2,2,"38","513","116",18.4,"629","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"63","417","122",22.6,"539","84","0",0,"84","1","3",75,"4"
"Florida","Bradford",4,4,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"126","1,234","386",23.8,"1,620","131","45",25.6,"176","0","0",0,"0"
"Florida","Broward",6,6,"1,236","4,475","921",17.1,"5,396","459","60",11.6,"519","30","30",50,"60"
"Florida","Calhoun",7,7,"1","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"41","467","234",33.4,"701","42","7",14.3,"49","0","0",0,"0"
"Florida","Citrus",9,9,"20","238","94",28.3,"332","31","9",22.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"61","457","87",16,"544","38","4",9.5,"42","3","3",50,"6"
"Florida","Collier",11,11,"193","747","140",15.8,"887","62","18",22.5,"80","0","0",0,"0"
"Florida","Columbia",12,12,"20","122","14",10.3,"136","24","3",11.1,"27","0","0",0,"0"
"Florida","Dade",13,13,"1,838","6,768","1,618",19.3,"8,386","801","158",16.5,"959","68","15",18.1,"83"
"Florida","Desoto",14,14,"2","26","29",52.7,"55","7","1",12.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"535","2,985","886",22.9,"3,871","345","95",21.6,"440","21","19",47.5,"40"
"Florida","Escambia",17,17,"167","1,039","305",22.7,"1,344","115","3",2.5,"118","7","9",56.2,"16"
"Florida","Flagler",18,18,"20","95","4",4,"99","15","3",16.7,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"2","6","15",71.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","9","20",69,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"58","553","198",26.4,"751","54","2",3.6,"56","0","0",0,"0"
"Florida","Highlands",28,28,"51","210","66",23.9,"276","24","3",11.1,"27","0","0",0,"0"
"Florida","Hillsborough",29,29,"293","3,347","617",15.6,"3,964","346","28",7.5,"374","26","16",38.1,"42"
"Florida","Holmes",30,30,"0","13","7",35,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"35","326","146",30.9,"472","15","15",50,"30","0","0",0,"0"
"Florida","Jackson",32,32,"36","63","34",35.1,"97","12","1",7.7,"13","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"133","747","185",19.8,"932","74","30",28.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"274","1,519","236",13.4,"1,755","125","15",10.7,"140","65","21",24.4,"86"
"Florida","Leon",37,37,"65","737","160",17.8,"897","66","6",8.3,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","7",46.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"95","675","124",15.5,"799","50","9",15.3,"59","0","0",0,"0"
"Florida","Marion",42,42,"86","807","94",10.4,"901","81","6",6.9,"87","0","0",0,"0"
"Florida","Martin",43,43,"43","276","212",43.4,"488","15","20",57.1,"35","0","0",0,"0"
"Florida","Monroe",44,44,"19","92","26",22,"118","7","2",22.2,"9","0","0",0,"0"
"Florida","Nassau",45,45,"4","47","39",45.3,"86","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"38","375","78",17.2,"453","53","2",3.6,"55","0","0",0,"0"
"Florida","Okeechobee",47,47,"17","57","43",43,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"568","3,452","969",21.9,"4,421","275","97",26.1,"372","69","43",38.4,"112"
"Florida","Osceola",49,49,"193","838","321",27.7,"1,159","93","35",27.3,"128","0","6",100,"6"
"Florida","Palm Beach",50,50,"652","3,052","1,138",27.2,"4,190","322","103",24.2,"425","13","19",59.4,"32"
"Florida","Pasco",51,51,"104","1,178","223",15.9,"1,401","125","9",6.7,"134","0","0",0,"0"
"Florida","Pinellas",52,52,"237","2,465","558",18.5,"3,023","250","46",15.5,"296","39","5",11.4,"44"
"Florida","Polk",53,53,"148","1,391","277",16.6,"1,668","149","9",5.7,"158","0","0",0,"0"
"Florida","Putnam",54,54,"15","74","10",11.9,"84","9","1",10,"10","0","0",0,"0"
"Florida","Santa Rosa",55,57,"18","153","196",56.2,"349","13","10",43.5,"23","0","0",0,"0"
"Florida","Sarasota",56,58,"141","1,057","243",18.7,"1,300","80","30",27.3,"110","0","0",0,"0"
"Florida","Seminole",57,59,"191","758","155",17,"913","66","7",9.6,"73","0","0",0,"0"
"Florida","St. Johns",58,55,"35","180","151",45.6,"331","29","15",34.1,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"135","773","140",15.3,"913","83","7",7.8,"90","3","3",50,"6"
"Florida","Sumter",60,60,"25","221","126",36.3,"347","31","9",22.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","4","12",75,"16","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"0","55","71",56.3,"126","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"144","1,017","561",35.6,"1,578","172","101",37,"273","1","4",80,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"6","70","47",40.2,"117","16","7",30.4,"23","0","0",0,"0"
"Florida","Washington",68,67,"5","46","13",22,"59","0","0",0,"0","0","0",0,"0"
