"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"150","1,477","233",13.6,"1,710","275","33",10.7,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"34","126","499",79.8,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"79","440","137",23.7,"577","66","16",19.5,"82","3","1",25,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"124","1,201","418",25.8,"1,619","129","48",27.1,"177","0","0",0,"0"
"Florida","Broward",6,6,"1,206","4,561","911",16.6,"5,472","482","46",8.7,"528","31","32",50.8,"63"
"Florida","Calhoun",7,7,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"53","467","225",32.5,"692","46","4",8,"50","0","0",0,"0"
"Florida","Citrus",9,9,"26","231","70",23.3,"301","33","7",17.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"72","458","85",15.7,"543","40","2",4.8,"42","3","11",78.6,"14"
"Florida","Collier",11,11,"134","730","170",18.9,"900","62","23",27.1,"85","0","0",0,"0"
"Florida","Columbia",12,12,"31","119","5",4,"124","15","0",0,"15","0","0",0,"0"
"Florida","Dade",13,13,"1,773","6,958","1,630",19,"8,588","886","91",9.3,"977","70","34",32.7,"104"
"Florida","Desoto",14,14,"3","31","24",43.6,"55","4","4",50,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"464","2,887","892",23.6,"3,779","334","103",23.6,"437","23","17",42.5,"40"
"Florida","Escambia",17,17,"199","1,118","332",22.9,"1,450","133","14",9.5,"147","7","9",56.2,"16"
"Florida","Flagler",18,18,"21","91","8",8.1,"99","14","4",22.2,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","4","11",73.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"61","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"4","9","12",57.1,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"8","16","13",44.8,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"62","510","216",29.8,"726","55","7",11.3,"62","0","0",0,"0"
"Florida","Highlands",28,28,"56","207","57",21.6,"264","29","2",6.5,"31","0","0",0,"0"
"Florida","Hillsborough",29,29,"445","3,233","588",15.4,"3,821","355","29",7.6,"384","26","16",38.1,"42"
"Florida","Holmes",30,30,"1","4","14",77.8,"18","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"29","333","121",26.7,"454","29","5",14.7,"34","0","0",0,"0"
"Florida","Jackson",32,32,"17","42","59",58.4,"101","12","4",25,"16","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"93","729","171",19,"900","72","32",30.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"164","1,484","277",15.7,"1,761","115","26",18.4,"141","62","24",27.9,"86"
"Florida","Leon",37,37,"80","712","154",17.8,"866","60","12",16.7,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","7",46.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"119","668","111",14.2,"779","54","13",19.4,"67","0","0",0,"0"
"Florida","Marion",42,42,"114","765","141",15.6,"906","81","8",9,"89","0","0",0,"0"
"Florida","Martin",43,43,"33","236","248",51.2,"484","7","32",82.1,"39","0","0",0,"0"
"Florida","Monroe",44,44,"12","82","31",27.4,"113","6","2",25,"8","0","0",0,"0"
"Florida","Nassau",45,45,"5","41","27",39.7,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"52","380","82",17.7,"462","51","4",7.3,"55","0","0",0,"0"
"Florida","Okeechobee",47,47,"11","47","53",53,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"456","3,496","947",21.3,"4,443","290","82",22,"372","78","34",30.4,"112"
"Florida","Osceola",49,49,"148","860","288",25.1,"1,148","100","34",25.4,"134","1","5",83.3,"6"
"Florida","Palm Beach",50,50,"526","2,969","1,196",28.7,"4,165","325","98",23.2,"423","19","13",40.6,"32"
"Florida","Pasco",51,51,"75","1,076","300",21.8,"1,376","109","22",16.8,"131","0","0",0,"0"
"Florida","Pinellas",52,52,"351","2,322","559",19.4,"2,881","253","42",14.2,"295","41","2",4.7,"43"
"Florida","Polk",53,53,"283","1,341","298",18.2,"1,639","172","15",8,"187","0","0",0,"0"
"Florida","Putnam",54,54,"13","67","17",20.2,"84","10","0",0,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"29","196","134",40.6,"330","22","22",50,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"159","772","121",13.5,"893","81","9",10,"90","2","4",66.7,"6"
"Florida","Santa Rosa",55,57,"29","152","192",55.8,"344","15","8",34.8,"23","0","0",0,"0"
"Florida","Sarasota",56,58,"133","986","222",18.4,"1,208","86","27",23.9,"113","0","0",0,"0"
"Florida","Seminole",57,59,"127","766","175",18.6,"941","65","9",12.2,"74","0","0",0,"0"
"Florida","Sumter",60,60,"32","225","122",35.2,"347","30","10",25,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","6","6",50,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"0","54","71",56.8,"125","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"132","1,046","467",30.9,"1,513","172","66",27.7,"238","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"12","61","52",46,"113","18","5",21.7,"23","0","0",0,"0"
"Florida","Washington",68,67,"6","43","16",27.1,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
