"State","County","OBJECTID","DEPCODE","covid_hosp","total_staffed_bed_capacity","available_capacity","available","bed_cencus","total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Florida","Alachua",1,1,"95","1,277",37200,"0.225591267","1,649","257",5100,"0.165584416","308","26",2100,"0.446808511","47"
"Florida","Alachua",2,1,"95","1,277",37200,"0.225591267","1,649","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",3,1,"95","1,277",37200,"0.225591267","1,649","70",300,"0.041095890","73","2",200,"0.5","4"
"Florida","Alachua",4,1,"95","1,277",37200,"0.225591267","1,649","127",4200,"0.248520710","169","0",0,"0","0"
"Florida","Alachua",5,1,"95","1,277",37200,"0.225591267","1,649","436",6800,"0.134920635","504","31",2300,"0.425925926","54"
"Florida","Alachua",6,1,"95","1,277",37200,"0.225591267","1,649","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",7,1,"95","1,277",37200,"0.225591267","1,649","45",700,"0.134615385","52","0",0,"0","0"
"Florida","Alachua",8,1,"95","1,277",37200,"0.225591267","1,649","29",1100,"0.275","40","0",0,"0","0"
"Florida","Alachua",9,1,"95","516",10500,"0.169082126","621","257",5100,"0.165584416","308","26",2100,"0.446808511","47"
"Florida","Alachua",10,1,"95","516",10500,"0.169082126","621","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",11,1,"95","516",10500,"0.169082126","621","70",300,"0.041095890","73","2",200,"0.5","4"
"Florida","Alachua",12,1,"95","516",10500,"0.169082126","621","127",4200,"0.248520710","169","0",0,"0","0"
"Florida","Alachua",13,1,"95","516",10500,"0.169082126","621","436",6800,"0.134920635","504","31",2300,"0.425925926","54"
"Florida","Alachua",14,1,"95","516",10500,"0.169082126","621","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",15,1,"95","516",10500,"0.169082126","621","45",700,"0.134615385","52","0",0,"0","0"
"Florida","Alachua",16,1,"95","516",10500,"0.169082126","621","29",1100,"0.275","40","0",0,"0","0"
"Florida","Alachua",17,1,"95","384",14400,"0.272727273","528","257",5100,"0.165584416","308","26",2100,"0.446808511","47"
"Florida","Alachua",18,1,"95","384",14400,"0.272727273","528","0",0,"0","0","0",0,"0","0"
"Florida","Alachua",19,1,"95","384",14400,"0.272727273","528","70",300,"0.041095890","73","2",200,"0.5","4"
"Florida","Alachua",20,1,"95","384",14400,"0.272727273","528","127",4200,"0.248520710","169","0",0,"0","0"
"Florida","Alachua",21,1,"95","384",14400,"0.272727273","528","436",6800,"0.134920635","504","31",2300,"0.425925926","54"
"Florida","Alachua",22,1,"95","384",14400,"0.272727273","528","0",0,"0","0","0",0,"0","0"
