"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"61","1,472","228",13.4,"1,700","285","23",7.5,"308","41","6",12.8,"47"
"Florida","Baker",2,2,"2","466","159",25.4,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"24","453","81",15.2,"534","47","3",6,"50","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"59","1,188","425",26.3,"1,613","125","40",24.2,"165","0","0",0,"0"
"Florida","Broward",6,6,"186","4,166","1,054",20.2,"5,220","326","119",26.7,"445","32","25",43.9,"57"
"Florida","Calhoun",7,7,"0","8","2",20,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"26","434","183",29.7,"617","43","6",12.2,"49","0","0",0,"0"
"Florida","Citrus",9,9,"17","235","78",24.9,"313","33","7",17.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"29","496","57",10.3,"553","44","6",12,"50","4","0",0,"4"
"Florida","Collier",11,11,"21","642","199",23.7,"841","55","29",34.5,"84","0","0",0,"0"
"Florida","Columbia",12,12,"20","105","0",0,"105","12","0",0,"12","0","0",0,"0"
"Florida","Dade",13,13,"269","6,324","2,272",26.4,"8,596","738","207",21.9,"945","81","47",36.7,"128"
"Florida","Desoto",14,14,"0","8","47",85.5,"55","1","7",87.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"130","2,829","802",22.1,"3,631","330","104",24,"434","24","16",40,"40"
"Florida","Escambia",17,17,"44","1,100","373",25.3,"1,473","131","10",7.1,"141","9","7",43.8,"16"
"Florida","Flagler",18,18,"9","86","13",13.1,"99","15","3",16.7,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"22","700","253",26.5,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","6","15",71.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","22","0",0,"22","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"3","11","18",62.1,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"24","523","215",29.1,"738","53","9",14.5,"62","0","0",0,"0"
"Florida","Highlands",28,28,"22","220","37",14.4,"257","26","7",21.2,"33","0","0",0,"0"
"Florida","Hillsborough",29,29,"147","3,259","547",14.4,"3,806","327","45",12.1,"372","18","23",56.1,"41"
"Florida","Holmes",30,30,"0","18","2",10,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"7","328","130",28.4,"458","25","6",19.4,"31","0","0",0,"0"
"Florida","Jackson",32,32,"5","31","66",68,"97","4","4",50,"8","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"35","680","231",25.4,"911","73","31",29.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"32","1,441","389",21.3,"1,830","116","24",17.1,"140","61","25",29.1,"86"
"Florida","Leon",37,37,"44","729","136",15.7,"865","56","16",22.2,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","5","12",70.6,"17","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"24","658","113",14.7,"771","57","14",19.7,"71","0","0",0,"0"
"Florida","Marion",42,42,"38","797","122",13.3,"919","82","3",3.5,"85","0","0",0,"0"
"Florida","Martin",43,43,"16","246","261",51.5,"507","12","28",70,"40","0","0",0,"0"
"Florida","Monroe",44,44,"5","90","73",44.8,"163","9","4",30.8,"13","0","0",0,"0"
"Florida","Nassau",45,45,"1","27","41",60.3,"68","4","4",50,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"16","376","77",17,"453","47","7",13,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"10","62","38",38,"100","7","1",12.5,"8","0","0",0,"0"
"Florida","Orange",48,48,"112","3,324","1,044",23.9,"4,368","274","130",32.2,"404","89","23",20.5,"112"
"Florida","Osceola",49,49,"71","887","269",23.3,"1,156","92","31",25.2,"123","0","6",100,"6"
"Florida","Palm Beach",50,50,"111","2,722","1,328",32.8,"4,050","280","137",32.9,"417","15","17",53.1,"32"
"Florida","Pasco",51,51,"40","1,168","184",13.6,"1,352","119","12",9.2,"131","0","0",0,"0"
"Florida","Pinellas",52,52,"91","2,331","922",28.3,"3,253","234","57",19.6,"291","25","8",24.2,"33"
"Florida","Polk",53,53,"87","1,312","337",20.4,"1,649","128","16",11.1,"144","0","0",0,"0"
"Florida","Putnam",54,54,"9","70","14",16.7,"84","8","2",20,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"14","211","119",36.1,"330","24","20",45.5,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"55","723","150",17.2,"873","86","6",6.5,"92","2","4",66.7,"6"
"Florida","Santa Rosa",55,57,"5","106","230",68.5,"336","10","12",54.5,"22","0","0",0,"0"
"Florida","Sarasota",56,58,"33","1,051","181",14.7,"1,232","68","40",37,"108","0","0",0,"0"
"Florida","Seminole",57,59,"30","749","172",18.7,"921","67","6",8.2,"73","0","0",0,"0"
"Florida","Sumter",60,60,"9","253","94",27.1,"347","32","8",20,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","5","7",58.3,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"15","61","27",30.7,"88","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"49","1,118","485",30.3,"1,603","150","77",33.9,"227","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"4","53","64",54.7,"117","7","16",69.6,"23","0","0",0,"0"
"Florida","Washington",68,67,"2","41","18",30.5,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
