"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"91","1,415","287",16.9,"1,702","281","27",8.8,"308","42","5",10.6,"47"
"Florida","Baker",2,2,"1","476","149",23.8,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"37","444","99",18.2,"543","48","6",11.1,"54","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"93","1,176","388",24.8,"1,564","126","54",30,"180","0","0",0,"0"
"Florida","Broward",6,6,"463","3,974","1,151",22.5,"5,125","375","104",21.7,"479","29","33",53.2,"62"
"Florida","Calhoun",7,7,"0","4","6",60,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"35","379","228",37.6,"607","37","12",24.5,"49","0","0",0,"0"
"Florida","Citrus",9,9,"31","198","85",30,"283","24","16",40,"40","0","0",0,"0"
"Florida","Clay",10,10,"49","434","99",18.6,"533","40","2",4.8,"42","2","2",50,"4"
"Florida","Collier",11,11,"57","655","187",22.2,"842","51","34",40,"85","0","0",0,"0"
"Florida","Columbia",12,12,"19","107","6",5.3,"113","18","3",14.3,"21","0","0",0,"0"
"Florida","Dade",13,13,"697","6,016","2,543",29.7,"8,559","751","184",19.7,"935","58","46",44.2,"104"
"Florida","Desoto",14,14,"3","15","40",72.7,"55","1","7",87.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"224","2,655","1,089",29.1,"3,744","305","136",30.8,"441","18","22",55,"40"
"Florida","Escambia",17,17,"99","984","495",33.5,"1,479","120","21",14.9,"141","6","10",62.5,"16"
"Florida","Flagler",18,18,"6","77","22",22.2,"99","11","7",38.9,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"175","754","199",20.9,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","4","18",81.8,"22","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","22","3",12,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","14","15",51.7,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"28","477","281",37.1,"758","48","14",22.6,"62","0","0",0,"0"
"Florida","Highlands",28,28,"21","182","75",29.2,"257","23","10",30.3,"33","0","0",0,"0"
"Florida","Hillsborough",29,29,"195","3,008","765",20.3,"3,773","298","71",19.2,"369","21","17",44.7,"38"
"Florida","Holmes",30,30,"0","9","13",59.1,"22","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"6","260","183",41.3,"443","9","21",70,"30","0","0",0,"0"
"Florida","Jackson",32,32,"14","42","50",54.3,"92","4","4",50,"8","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"78","726","170",19,"896","83","21",20.2,"104","0","0",0,"0"
"Florida","Lee",36,36,"113","1,366","483",26.1,"1,849","116","24",17.1,"140","63","23",26.7,"86"
"Florida","Leon",37,37,"76","712","145",16.9,"857","57","15",20.8,"72","3","6",66.7,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","9","6",40,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"25","610","135",18.1,"745","49","12",19.7,"61","0","0",0,"0"
"Florida","Marion",42,42,"75","786","115",12.8,"901","86","5",5.5,"91","0","0",0,"0"
"Florida","Martin",43,43,"12","228","262",53.5,"490","16","23",59,"39","0","0",0,"0"
"Florida","Monroe",44,44,"1","108","23",17.6,"131","10","0",0,"10","0","0",0,"0"
"Florida","Nassau",45,45,"8","35","33",48.5,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"27","332","120",26.5,"452","45","9",16.7,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"11","44","56",56,"100","5","3",37.5,"8","0","0",0,"0"
"Florida","Orange",48,48,"176","3,277","1,131",25.7,"4,408","254","118",31.7,"372","67","45",40.2,"112"
"Florida","Osceola",49,49,"71","808","330",29,"1,138","75","48",39,"123","0","6",100,"6"
"Florida","Palm Beach",50,50,"181","2,593","1,386",34.8,"3,979","255","145",36.2,"400","17","15",46.9,"32"
"Florida","Pasco",51,51,"51","1,077","335",23.7,"1,412","105","23",18,"128","0","0",0,"0"
"Florida","Pinellas",52,52,"136","2,113","1,018",32.5,"3,131","217","92",29.8,"309","25","20",44.4,"45"
"Florida","Polk",53,53,"119","1,212","400",24.8,"1,612","115","21",15.4,"136","0","0",0,"0"
"Florida","Putnam",54,54,"9","52","32",38.1,"84","10","0",0,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"9","170","160",48.5,"330","25","19",43.2,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"80","638","235",26.9,"873","76","14",15.6,"90","3","3",50,"6"
"Florida","Santa Rosa",55,57,"14","132","217",62.2,"349","8","13",61.9,"21","0","0",0,"0"
"Florida","Sarasota",56,58,"46","892","228",20.4,"1,120","69","41",37.3,"110","0","0",0,"0"
"Florida","Seminole",57,59,"51","671","246",26.8,"917","60","13",17.8,"73","0","0",0,"0"
"Florida","Sumter",60,60,"15","241","106",30.5,"347","33","7",17.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","6","6",50,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"12","62","41",39.8,"103","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"57","1,061","539",33.7,"1,600","154","69",30.9,"223","1","4",80,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"2","57","60",51.3,"117","17","6",26.1,"23","0","0",0,"0"
"Florida","Washington",68,67,"4","48","11",18.6,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
