"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"54","1,419","285",16.7,"1,704","283","25",8.1,"308","42","5",10.6,"47"
"Florida","Baker",2,2,"3","472","153",24.5,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"21","427","117",21.5,"544","45","17",27.4,"62","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"66","1,147","450",28.2,"1,597","128","37",22.4,"165","0","0",0,"0"
"Florida","Broward",6,6,"207","3,937","1,154",22.7,"5,091","318","127",28.5,"445","32","21",39.6,"53"
"Florida","Calhoun",7,7,"0","4","2",33.3,"6","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"26","406","214",34.5,"620","40","9",18.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"9","214","86",28.7,"300","32","8",20,"40","0","0",0,"0"
"Florida","Clay",10,10,"28","492","70",12.5,"562","46","13",22,"59","4","0",0,"4"
"Florida","Collier",11,11,"25","670","204",23.3,"874","48","37",43.5,"85","0","0",0,"0"
"Florida","Columbia",12,12,"12","86","5",5.5,"91","11","3",21.4,"14","0","0",0,"0"
"Florida","Dade",13,13,"262","6,015","2,526",29.6,"8,541","733","206",21.9,"939","68","49",41.9,"117"
"Florida","Desoto",14,14,"0","23","34",59.6,"57","4","4",50,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"125","2,675","1,041",28,"3,716","331","108",24.6,"439","23","17",42.5,"40"
"Florida","Escambia",17,17,"46","1,077","406",27.4,"1,483","131","10",7.1,"141","5","11",68.8,"16"
"Florida","Flagler",18,18,"7","82","27",24.8,"109","13","5",27.8,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"16","678","275",28.9,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","7","14",66.7,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"1","7","22",75.9,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"17","455","261",36.5,"716","39","13",25,"52","0","0",0,"0"
"Florida","Highlands",28,28,"23","162","93",36.5,"255","21","10",32.3,"31","0","0",0,"0"
"Florida","Hillsborough",29,29,"150","3,199","554",14.8,"3,753","335","30",8.2,"365","21","19",47.5,"40"
"Florida","Holmes",30,30,"0","13","7",35,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"14","318","137",30.1,"455","21","12",36.4,"33","0","0",0,"0"
"Florida","Jackson",32,32,"9","37","54",59.3,"91","5","3",37.5,"8","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"38","662","236",26.3,"898","72","32",30.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"38","1,424","394",21.7,"1,818","123","16",11.5,"139","58","28",32.6,"86"
"Florida","Leon",37,37,"41","683","165",19.5,"848","58","14",19.4,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","7","8",53.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"26","631","136",17.7,"767","57","12",17.4,"69","0","0",0,"0"
"Florida","Marion",42,42,"31","770","141",15.5,"911","74","9",10.8,"83","0","0",0,"0"
"Florida","Martin",43,43,"15","239","267",52.8,"506","11","28",71.8,"39","0","0",0,"0"
"Florida","Monroe",44,44,"2","62","105",62.9,"167","0","13",100,"13","0","0",0,"0"
"Florida","Nassau",45,45,"1","25","43",63.2,"68","5","3",37.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"15","358","93",20.6,"451","48","6",11.1,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"8","47","53",53,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"116","3,234","1,178",26.7,"4,412","249","155",38.4,"404","82","44",34.9,"126"
"Florida","Osceola",49,49,"68","878","260",22.8,"1,138","92","31",25.2,"123","0","0",0,"0"
"Florida","Palm Beach",50,50,"99","2,597","1,347",34.2,"3,944","249","114",31.4,"363","17","15",46.9,"32"
"Florida","Pasco",51,51,"41","1,097","228",17.2,"1,325","113","19",14.4,"132","0","0",0,"0"
"Florida","Pinellas",52,52,"99","2,356","1,316",35.8,"3,672","218","89",29,"307","31","14",31.1,"45"
"Florida","Polk",53,53,"80","1,256","372",22.9,"1,628","150","15",9.1,"165","0","0",0,"0"
"Florida","Putnam",54,54,"7","50","34",40.5,"84","5","5",50,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"13","165","165",50,"330","25","19",43.2,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"47","685","188",21.5,"873","79","10",11.2,"89","3","3",50,"6"
"Florida","Santa Rosa",55,57,"4","117","224",65.7,"341","9","11",55,"20","0","0",0,"0"
"Florida","Sarasota",56,58,"28","993","310",23.8,"1,303","66","142",68.3,"208","0","0",0,"0"
"Florida","Seminole",57,59,"29","678","241",26.2,"919","63","10",13.7,"73","0","0",0,"0"
"Florida","Sumter",60,60,"12","250","97",28,"347","33","7",17.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","6","6",50,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"14","59","29",33,"88","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"41","1,037","559",35,"1,596","157","83",34.6,"240","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"3","49","68",58.1,"117","9","14",60.9,"23","0","0",0,"0"
"Florida","Washington",68,67,"1","44","15",25.4,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
