"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"116","1,449","269",15.7,"1,718","292","16",5.2,"308","35","12",25.5,"47"
"Florida","Baker",2,2,"0","484","141",22.6,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"72","456","103",18.4,"559","51","9",15,"60","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"114","1,219","384",24,"1,603","129","42",24.6,"171","0","0",0,"0"
"Florida","Broward",6,6,"637","4,178","993",19.2,"5,171","423","84",16.6,"507","36","27",42.9,"63"
"Florida","Calhoun",7,7,"0","8","2",20,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"38","462","243",34.5,"705","39","10",20.4,"49","0","0",0,"0"
"Florida","Citrus",9,9,"30","240","88",26.8,"328","36","4",10,"40","0","0",0,"0"
"Florida","Clay",10,10,"60","463","88",16,"551","35","7",16.7,"42","3","11",78.6,"14"
"Florida","Collier",11,11,"71","680","157",18.8,"837","50","35",41.2,"85","0","0",0,"0"
"Florida","Columbia",12,12,"16","102","6",5.6,"108","14","6",30,"20","0","0",0,"0"
"Florida","Dade",13,13,"895","6,621","1,973",23,"8,594","818","157",16.1,"975","62","41",39.8,"103"
"Florida","Desoto",14,14,"2","24","31",56.4,"55","6","2",25,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"270","2,813","880",23.8,"3,693","336","105",23.8,"441","13","27",67.5,"40"
"Florida","Escambia",17,17,"116","1,049","439",29.5,"1,488","133","7",5,"140","5","11",68.8,"16"
"Florida","Flagler",18,18,"9","74","25",25.3,"99","10","8",44.4,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"114","766","187",19.6,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"2","3","18",85.7,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","25","0",0,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","7","22",75.9,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"29","500","226",31.1,"726","57","5",8.1,"62","0","0",0,"0"
"Florida","Highlands",28,28,"28","230","30",11.5,"260","26","4",13.3,"30","0","0",0,"0"
"Florida","Hillsborough",29,29,"241","3,220","602",15.8,"3,822","306","53",14.8,"359","23","11",32.4,"34"
"Florida","Holmes",30,30,"3","10","10",50,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"13","303","169",35.8,"472","20","10",33.3,"30","0","0",0,"0"
"Florida","Jackson",32,32,"11","37","67",64.4,"104","10","4",28.6,"14","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"57","722","172",19.2,"894","74","30",28.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"148","1,441","435",23.2,"1,876","112","29",20.6,"141","64","22",25.6,"86"
"Florida","Leon",37,37,"89","747","117",13.5,"864","56","16",22.2,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","5","10",66.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"43","661","109",14.2,"770","52","13",20,"65","0","0",0,"0"
"Florida","Marion",42,42,"99","818","132",13.9,"950","86","9",9.5,"95","0","0",0,"0"
"Florida","Martin",43,43,"22","249","241",49.2,"490","18","21",53.8,"39","0","0",0,"0"
"Florida","Monroe",44,44,"4","82","31",27.4,"113","7","0",0,"7","0","0",0,"0"
"Florida","Nassau",45,45,"9","33","35",51.5,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"33","340","110",24.4,"450","41","13",24.1,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"12","40","60",60,"100","7","1",12.5,"8","0","0",0,"0"
"Florida","Orange",48,48,"248","3,439","918",21.1,"4,357","285","87",23.4,"372","70","42",37.5,"112"
"Florida","Osceola",49,49,"86","823","325",28.3,"1,148","85","44",34.1,"129","0","6",100,"6"
"Florida","Palm Beach",50,50,"269","2,743","1,378",33.4,"4,121","305","106",25.8,"411","18","14",43.8,"32"
"Florida","Pasco",51,51,"52","1,079","310",22.3,"1,389","109","27",19.9,"136","0","0",0,"0"
"Florida","Pinellas",52,52,"159","2,263","709",23.9,"2,972","239","63",20.9,"302","28","15",34.9,"43"
"Florida","Polk",53,53,"163","1,328","312",19,"1,640","134","36",21.2,"170","0","0",0,"0"
"Florida","Putnam",54,54,"8","56","28",33.3,"84","10","0",0,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"11","196","134",40.6,"330","20","24",54.5,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"76","655","218",25,"873","81","9",10,"90","5","1",16.7,"6"
"Florida","Santa Rosa",55,57,"13","153","195",56,"348","10","9",47.4,"19","0","0",0,"0"
"Florida","Sarasota",56,58,"68","1,019","231",18.5,"1,250","72","36",33.3,"108","0","0",0,"0"
"Florida","Seminole",57,59,"68","689","243",26.1,"932","62","11",15.1,"73","0","0",0,"0"
"Florida","Sumter",60,60,"16","230","117",33.7,"347","29","11",27.5,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","6","6",50,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"3","66","61",48,"127","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"94","1,134","446",28.2,"1,580","147","72",32.9,"219","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"3","71","46",39.3,"117","8","15",65.2,"23","0","0",0,"0"
"Florida","Washington",68,67,"3","37","22",37.3,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
