"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"126","1,466","256",14.9,"1,722","271","37",12,"308","37","10",21.3,"47"
"Florida","Baker",2,2,"4","134","491",78.6,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"70","425","140",24.8,"565","61","5",7.6,"66","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"112","1,232","396",24.3,"1,628","129","49",27.5,"178","0","0",0,"0"
"Florida","Broward",6,6,"864","4,289","988",18.7,"5,277","449","67",13,"516","35","25",41.7,"60"
"Florida","Calhoun",7,7,"1","9","1",10,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"37","450","261",36.7,"711","42","7",14.3,"49","0","0",0,"0"
"Florida","Citrus",9,9,"26","256","39",13.2,"295","32","8",20,"40","0","0",0,"0"
"Florida","Clay",10,10,"59","470","82",14.9,"552","40","2",4.8,"42","5","9",64.3,"14"
"Florida","Collier",11,11,"117","738","146",16.5,"884","69","16",18.8,"85","0","0",0,"0"
"Florida","Columbia",12,12,"35","112","1",0.9,"113","17","0",0,"17","0","0",0,"0"
"Florida","Dade",13,13,"1,293","6,690","1,848",21.6,"8,538","824","172",17.3,"996","68","38",35.8,"106"
"Florida","Desoto",14,14,"2","28","27",49.1,"55","7","1",12.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"342","2,815","926",24.8,"3,741","324","117",26.5,"441","19","21",52.5,"40"
"Florida","Escambia",17,17,"163","1,135","360",24.1,"1,495","134","13",8.8,"147","5","11",68.8,"16"
"Florida","Flagler",18,18,"15","79","20",20.2,"99","12","6",33.3,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"126","779","170",17.9,"949","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"4","11","10",47.6,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","20","5",20,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"7","17","12",41.4,"29","4","0",0,"4","0","0",0,"0"
"Florida","Hernando",27,27,"49","517","212",29.1,"729","49","13",21,"62","0","0",0,"0"
"Florida","Highlands",28,28,"51","217","34",13.5,"251","28","4",12.5,"32","0","0",0,"0"
"Florida","Hillsborough",29,29,"331","3,243","608",15.8,"3,851","344","33",8.8,"377","25","16",39,"41"
"Florida","Holmes",30,30,"2","5","15",75,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"24","309","149",32.5,"458","27","5",15.6,"32","0","0",0,"0"
"Florida","Jackson",32,32,"17","51","54",51.4,"105","10","7",41.2,"17","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"77","716","190",21,"906","72","32",30.8,"104","0","0",0,"0"
"Florida","Lee",36,36,"172","1,440","347",19.4,"1,787","101","40",28.4,"141","67","19",22.1,"86"
"Florida","Leon",37,37,"81","731","132",15.3,"863","54","18",25,"72","0","9",100,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","13","2",13.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"76","635","125",16.4,"760","52","16",23.5,"68","0","0",0,"0"
"Florida","Marion",42,42,"108","823","96",10.4,"919","78","10",11.4,"88","0","0",0,"0"
"Florida","Martin",43,43,"22","225","265",54.1,"490","16","23",59,"39","0","0",0,"0"
"Florida","Monroe",44,44,"8","83","26",23.9,"109","11","0",0,"11","0","0",0,"0"
"Florida","Nassau",45,45,"4","40","28",41.2,"68","7","1",12.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"47","356","95",21.1,"451","50","4",7.4,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"14","50","50",50,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"288","3,459","939",21.4,"4,398","293","79",21.2,"372","68","44",39.3,"112"
"Florida","Osceola",49,49,"111","873","278",24.2,"1,151","98","31",24,"129","0","6",100,"6"
"Florida","Palm Beach",50,50,"387","2,841","1,350",32.2,"4,191","304","106",25.9,"410","20","12",37.5,"32"
"Florida","Pasco",51,51,"73","1,128","264",19,"1,392","123","7",5.4,"130","0","0",0,"0"
"Florida","Pinellas",52,52,"256","2,335","592",20.2,"2,927","247","50",16.8,"297","37","6",14,"43"
"Florida","Polk",53,53,"225","1,335","348",20.7,"1,683","144","9",5.9,"153","0","0",0,"0"
"Florida","Putnam",54,54,"9","63","21",25,"84","10","0",0,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"28","228","102",30.9,"330","28","16",36.4,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"112","695","178",20.4,"873","78","12",13.3,"90","3","3",50,"6"
"Florida","Santa Rosa",55,57,"20","151","201",57.1,"352","12","10",45.5,"22","0","0",0,"0"
"Florida","Sarasota",56,58,"77","966","217",18.3,"1,183","74","33",30.8,"107","0","0",0,"0"
"Florida","Seminole",57,59,"91","708","229",24.4,"937","57","16",21.9,"73","0","0",0,"0"
"Florida","Sumter",60,60,"18","248","99",28.5,"347","34","6",15,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"1","3","9",75,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"0","63","57",47.5,"120","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"123","1,140","460",28.7,"1,600","182","45",19.8,"227","0","5",100,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"9","66","51",43.6,"117","13","10",43.5,"23","0","0",0,"0"
"Florida","Washington",68,67,"5","45","16",26.2,"61","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
