"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"142","1,471","260",15,"1,731","283","25",8.1,"308","32","15",31.9,"47"
"Florida","Baker",2,2,"24","132","493",78.9,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"80","418","131",23.9,"549","57","0",0,"57","1","3",75,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"107","1,150","459",28.5,"1,609","115","60",34.3,"175","0","0",0,"0"
"Florida","Broward",6,6,"1,072","4,267","1,000",19,"5,267","474","46",8.8,"520","36","30",45.5,"66"
"Florida","Calhoun",7,7,"1","2","8",80,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"46","489","218",30.8,"707","37","12",24.5,"49","0","0",0,"0"
"Florida","Citrus",9,9,"25","229","75",24.7,"304","29","11",27.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"79","488","71",12.7,"559","37","5",11.9,"42","4","10",71.4,"14"
"Florida","Collier",11,11,"121","658","178",21.3,"836","62","23",27.1,"85","0","0",0,"0"
"Florida","Columbia",12,12,"20","102","9",8.1,"111","17","5",22.7,"22","0","0",0,"0"
"Florida","Dade",13,13,"1,670","6,886","1,576",18.6,"8,462","898","88",8.9,"986","67","34",33.7,"101"
"Florida","Desoto",14,14,"2","34","21",38.2,"55","6","2",25,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"423","2,844","913",24.3,"3,757","340","101",22.9,"441","18","22",55,"40"
"Florida","Escambia",17,17,"172","1,097","376",25.5,"1,473","135","12",8.2,"147","4","12",75,"16"
"Florida","Flagler",18,18,"13","87","12",12.1,"99","17","1",5.6,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"70","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"5","6","15",71.4,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","24","1",4,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"11","18","11",37.9,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"55","532","186",25.9,"718","56","6",9.7,"62","0","0",0,"0"
"Florida","Highlands",28,28,"50","225","42",15.7,"267","26","6",18.8,"32","0","0",0,"0"
"Florida","Hillsborough",29,29,"435","3,355","539",13.8,"3,894","377","13",3.3,"390","30","6",16.7,"36"
"Florida","Holmes",30,30,"1","5","15",75,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"30","333","129",27.9,"462","20","9",31,"29","0","0",0,"0"
"Florida","Jackson",32,32,"18","57","44",43.6,"101","16","0",0,"16","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"94","668","222",24.9,"890","76","28",26.9,"104","0","0",0,"0"
"Florida","Lee",36,36,"174","1,501","271",15.3,"1,772","113","28",19.9,"141","70","16",18.6,"86"
"Florida","Leon",37,37,"75","723","140",16.2,"863","62","10",13.9,"72","4","5",55.6,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","9",52.9,"17","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"84","644","116",15.3,"760","61","8",11.6,"69","0","0",0,"0"
"Florida","Marion",42,42,"108","810","102",11.2,"912","80","6",7,"86","0","0",0,"0"
"Florida","Martin",43,43,"32","245","221",47.4,"466","7","32",82.1,"39","0","0",0,"0"
"Florida","Monroe",44,44,"13","100","15",13,"115","10","0",0,"10","0","0",0,"0"
"Florida","Nassau",45,45,"2","37","31",45.6,"68","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"47","371","80",17.7,"451","50","4",7.4,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"13","58","42",42,"100","7","1",12.5,"8","0","0",0,"0"
"Florida","Orange",48,48,"404","3,459","931",21.2,"4,390","304","68",18.3,"372","72","40",35.7,"112"
"Florida","Osceola",49,49,"140","871","286",24.7,"1,157","97","35",26.5,"132","0","6",100,"6"
"Florida","Palm Beach",50,50,"485","2,958","1,237",29.5,"4,195","322","93",22.4,"415","19","13",40.6,"32"
"Florida","Pasco",51,51,"101","1,121","272",19.5,"1,393","125","6",4.6,"131","0","0",0,"0"
"Florida","Pinellas",52,52,"307","2,349","563",19.3,"2,912","245","41",14.3,"286","35","6",14.6,"41"
"Florida","Polk",53,53,"263","1,321","322",19.6,"1,643","147","9",5.8,"156","0","0",0,"0"
"Florida","Putnam",54,54,"10","54","30",35.7,"84","9","1",10,"10","0","0",0,"0"
"Florida","St. Johns",58,55,"27","202","130",39.2,"332","22","22",50,"44","0","0",0,"0"
"Florida","St. Lucie",59,56,"157","733","155",17.5,"888","75","15",16.7,"90","6","0",0,"6"
"Florida","Santa Rosa",55,57,"21","130","215",62.3,"345","12","10",45.5,"22","0","0",0,"0"
"Florida","Sarasota",56,58,"92","1,022","224",18,"1,246","79","29",26.9,"108","0","0",0,"0"
"Florida","Seminole",57,59,"112","712","233",24.7,"945","61","13",17.6,"74","0","0",0,"0"
"Florida","Sumter",60,60,"25","236","111",32,"347","32","8",20,"40","0","0",0,"0"
"Florida","Suwannee",61,61,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Taylor",62,62,"0","6","6",50,"12","0","0",0,"0","0","0",0,"0"
"Florida","Union",63,63,"0","58","57",49.6,"115","0","0",0,"0","0","0",0,"0"
"Florida","Volusia",65,64,"137","1,103","503",31.3,"1,606","181","51",22,"232","1","4",80,"5"
"Florida","Wakulla",66,65,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Walton",67,66,"10","65","52",44.4,"117","16","7",30.4,"23","0","0",0,"0"
"Florida","Washington",68,67,"10","49","10",16.9,"59","0","0",0,"0","0","0",0,"0"
"Florida","Unknown",64,999,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
