"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"95","1,283","366",22.2,"1,649","257","51",16.6,"308","26","21",44.7,"47"
"Florida","Baker",2,2,"30","516","105",16.9,"621","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"42","385","143",27.1,"528","70","3",4.1,"73","2","2",50,"4"
"Florida","Bradford",4,4,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"124","1,165","388",25,"1,553","127","42",24.9,"169","0","0",0,"0"
"Florida","Broward",6,6,"931","4,315","1,065",19.8,"5,380","436","68",13.5,"504","31","23",42.6,"54"
"Florida","Calhoun",7,7,"1","6","4",40,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"36","445","252",36.2,"697","45","7",13.5,"52","0","0",0,"0"
"Florida","Citrus",9,9,"19","219","98",30.9,"317","29","11",27.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"46","464","94",16.8,"558","40","2",4.8,"42","3","3",50,"6"
"Florida","Collier",11,11,"186","747","143",16.1,"890","59","22",27.2,"81","0","0",0,"0"
"Florida","Columbia",12,12,"20","124","15",10.8,"139","20","3",13,"23","0","0",0,"0"
"Florida","Dade",13,13,"1,692","6,660","1,754",20.8,"8,414","833","147",15,"980","65","16",19.8,"81"
"Florida","Desoto",14,14,"3","33","22",40,"55","5","3",37.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"484","2,840","1,030",26.6,"3,870","325","115",26.1,"440","22","18",45,"40"
"Florida","Escambia",17,17,"155","992","352",26.2,"1,344","115","3",2.5,"118","5","11",68.8,"16"
"Florida","Flagler",18,18,"16","86","13",13.1,"99","16","2",11.1,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","1","14",93.3,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"1","4","17",81,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","22","3",12,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"8","13","16",55.2,"29","0","0",0,"0","0","0",0,"0"
"Florida","Hernando",27,27,"54","513","238",31.7,"751","48","8",14.3,"56","0","0",0,"0"
"Florida","Highlands",28,28,"37","201","68",25.3,"269","24","4",14.3,"28","0","0",0,"0"
"Florida","Hillsborough",29,29,"278","3,168","746",19.1,"3,914","341","42",11,"383","23","18",43.9,"41"
"Florida","Holmes",30,30,"2","11","9",45,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"31","287","166",36.6,"453","21","9",30,"30","0","0",0,"0"
"Florida","Jackson",32,32,"32","58","27",31.8,"85","5","5",50,"10","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"120","701","224",24.2,"925","70","34",32.7,"104","0","0",0,"0"
"Florida","Lee",36,36,"266","1,447","304",17.4,"1,751","121","19",13.6,"140","63","23",26.7,"86"
"Florida","Leon",37,37,"63","684","209",23.4,"893","64","8",11.1,"72","2","7",77.8,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","8","7",46.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"84","644","162",20.1,"806","52","7",11.9,"59","0","0",0,"0"
"Florida","Marion",42,42,"88","779","131",14.4,"910","73","14",16.1,"87","0","0",0,"0"
"Florida","Martin",43,43,"51","263","227",46.3,"490","12","27",69.2,"39","0","0",0,"0"
"Florida","Monroe",44,44,"11","75","38",33.6,"113","5","5",50,"10","0","0",0,"0"
"Florida","Nassau",45,45,"5","32","54",62.8,"86","8","0",0,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"38","364","96",20.9,"460","45","9",16.7,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"14","59","41",41,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"542","3,367","1,063",24,"4,430","276","93",25.2,"369","70","42",37.5,"112"
